col1,col2,cond
arabic_arabic20_C_lowpass.wav,arabic_arabic32_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic35_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic37_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic38_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic4_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic40_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic41_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic43_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic5_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic6_C_lowpass.wav,cond1
arabic_arabic20_G_lowpass.wav,arabic_arabic23_G_lowpass.wav,cond1
arabic_arabic20_G_lowpass.wav,arabic_arabic32_G_lowpass.wav,cond1
arabic_arabic20_G_lowpass.wav,arabic_arabic38_G_lowpass.wav,cond1
arabic_arabic20_G_lowpass.wav,arabic_arabic4_G_lowpass.wav,cond1
arabic_arabic20_G_lowpass.wav,arabic_arabic5_G_lowpass.wav,cond1
arabic_arabic20_G_lowpass.wav,arabic_arabic8_G_lowpass.wav,cond1
arabic_arabic21_A_lowpass.wav,arabic_arabic23_A_lowpass.wav,cond1
arabic_arabic21_A_lowpass.wav,arabic_arabic32_A_lowpass.wav,cond1
arabic_arabic21_A_lowpass.wav,arabic_arabic35_A_lowpass.wav,cond1
